state,today,total
Bandra S UMS Shankarpur,0,248
Bandra S UMS Simra,0,"1,011"
Bandra Sansar Clf,0,10
Bandra UMS Baingara,0,391
Bandra UMS Gagraha,0,200
Bandra UMS Hatta Mallah Tola,0,202
Bandra UMS Jori Gachhi,0,16
Bandra UMS SUNDER PUR RATWARA,0,181
Bela Road SSB Camp,0,70
Boch TIKHI MS SHILRAMPUR EAST,0,520
BochTE5 Chitkaiya,0,197
Bochaha MS BHAGWANPUR DADHIYA,0,11
Bochahan 18 Plus HSParasnath E,0,"6,884"
Bochahan 18 Plus HSParasnath W,0,"3,832"
Bochahan APHC Kafen RJankiMath,0,353
Bochahan CH Majhoulia,0,432
Bochahan CHC For WWD 1,0,129
Bochahan CHC For WWD 2,0,38
Bochahan CRPF Jhapahan,0,143
Bochahan HS Patiyasa Jalal,0,233
Bochahan HSC Dharmpur,0,98
Bochahan HSC KANHARA,0,38
Bochahan HSC MIRZAPUR,0,22
Bochahan Hsc Borwara,0,20
Bochahan Hsc Karanpur South W9,0,280
Bochahan Hsc Salhan,0,10
Bochahan KARANPUR NORTH,0,106
Bochahan MS BAJITPUR,0,356
Bochahan MS BHATWA W10 EAST,0,313
Bochahan MS BHUTANE,0,103
Bochahan MS Baba Amar Singh,0,322
Bochahan MS Bahlolpur East,0,697
Bochahan MS Balhuwa Dih,0,300
Bochahan MS CHAUPAR,0,569
Bochahan MS DHARAMPUR,0,401
Bochahan MS Deogan East,0,264
Bochahan MS Deogan West,0,228
Bochahan MS Garhan,0,206
Bochahan MS Jhapahan,0,250
Bochahan MS LOSHARI East,0,300
Bochahan MS Narma Pachisi,0,556
Bochahan MS Parati Urdu,0,390
Bochahan MS RAGHO MAJHAULI,0,93
Bochahan MS Ramdas Majh East,0,300
Bochahan MS SALHA,0,868
Bochahan MS SHILARAMPUR,0,424
Bochahan MS Simri Basant,0,401
Bochahan MS Tinpai Maidapur,0,"1,033"
Bochahan Narkatia BARKHURDAR,0,40
Bochahan PAX GODAM KAFEN,0,720
Bochahan PB Majhauli,0,128
Bochahan PS Balthi Rasulpur E,0,300
Bochahan PS Garha,0,315
Bochahan PS Kamle Simri Sahila,0,397
Bochahan PS Mudhrapur,0,340
Bochahan PS Simri Fakirana,0,407
Bochahan PS TAMULIYA,0,514
Bochahan Ram Mander Chaumukh,0,336
Bochahan S APHC Gharbhara,0,965
Bochahan S HSC Majhaulia,0,769
Bochahan S HSC Pakri,0,495
Bochahan S MS RASHI,0,75
Bochahan SB Unsar,0,428
Bochahan Samaj Bhawan NarmaDih,0,704
Bochahan UMS CHAKNURAN,0,414
Bochahan UMS HS BASULI W5 EAST,0,260
Bochahan UMS Kafen,0,383
Bochahan UMS MASURLIA,0,400
Bochahan UMS Mahpur,0,"1,112"
Bochahan UMS Rosi,0,882
Bochahan UMS Sahbajpur,0,470
Bochahan UV Bela Jhapaha,0,552
Bochahan Urdu S Narkatiya,0,684
Bochahan VISHUNPUR JAGDISH,0,43
CH Hatha,0,525
CHC Aurai,0,"6,278"
CHC Bandra,0,"2,485"
CHC Bochahan,0,"4,014"
CRPF Jhapaha Minapur 1,0,692
Commissioner office 1,0,228
DM Office 1,0,"1,268"
Dainik Jagran 1,0,280
Dhiranpatti,0,100
Dihuli Ihshak PB,0,147
GAI M1 BERUA PANCHAYAT,0,189
GAI M1 KEOTSA PANCHAYAT,0,254
GAI M1 M.S. PACHGACHHIYA,0,195
GAI M1 MS JAYA LOMA,0,30
GAI M1 URB RADHA DEVI SCHOOL,0,61
GAI M1 URB TE KAMRA MOHALLAH,0,202
GAI M2 BARUARI PANCHAYAT,0,581
GAI M2 FAKIRADIH PANCHAYAT,0,90
GAI M2 KAMARTHU PANCHAYAT,0,80
GAI M2 MAITHI P.S. PURA,0,654
GAI M2 MAITHI ROUNAPURA,0,3
GAI M2 PIROUCHHA PANCHAYAT,0,35
GAI M2 SHIVDAHAN PANCHAYAT,0,431
GAI M2 SUSTA PANCHAYAT,0,280
GAI M2 URB HAZRAT ALI LANE,0,89
GAI MS Baghakhal Sarvoday,0,185
GAI MS GAIGHAT Jarang East,0,366
GAI MS Jaya HSC LOma,0,541
GAI MS Malahtoli Kanya Jarang,0,111
GAI MS Thalwara Jarang East,0,200
GAI PS Dahila Dusad Tola,0,188
GAI PS Jarang Adda Pokhar,0,251
GAI S Jarang E HSC Fakira Dih,0,91
GAIGHAT HSC Bhagwatpur,0,640
Gai HSC MS Janta Pachiyari,0,470
Gai MS Ashiya Tok,0,299
Gai MS Bakhari Chowk,0,291
Gai MS Bhushra Man,0,497
Gai MS Chorniya Gaighat,0,550
Gai MS Hanumangar Kanta,0,302
Gai MS Haripur HSC Dih Kodai,0,444
Gai MS Kunwar Tola Jarang,0,257
Gai MS Patsharma Balak,0,200
Gai MS Raghopur Jamapur Kodai,0,299
Gai MS Tharma Gaighat,0,140
Gai PS Baghakhal Dhobiya Tola,0,311
Gai PS Bhushra Balak,0,197
Gai PS Chirella Maithi,0,301
Gai PS Koriyathel Kamarthu,0,300
Gai PS Makarandpur Urdu,0,300
Gai PS Pachgachiya,0,269
Gai PS Patsharma West,0,200
Gai PS Sura Fakiradih Mallh,0,450
Gai Pirocha Center 119,0,635
Gai RBSK T1 Tharma Gaighat,0,260
Gai SB Motnaje Janta,0,250
Gaighat 18 Plus BRC Bld Hall 2,0,"4,134"
Gaighat 18 Plus BRC Building,0,"11,573"
Gaighat APHC Gaushnagar,0,794
Gaighat BRC Hall 2,0,585
Gaighat CHC For 45 Plus,0,"2,380"
Gaighat CHC Only For PMSMA,0,171
Gaighat CHC for FLW,0,"3,699"
Gaighat HSC Baghkhal ASHARAM,0,710
Gaighat HSC Balaur,0,949
Gaighat HSC Balha,0,377
Gaighat HSC Bhushra Patsharma,0,"1,148"
Gaighat HSC Fakiradih,0,"1,046"
Gaighat HSC Godhanpatti,0,670
Gaighat HSC Jarang,0,"1,310"
Gaighat HSC Kothiya,0,"1,911"
Gaighat HSC Kumhraul,0,816
Gaighat HSC Ladaur,0,"1,015"
Gaighat HSC Laxman Nagar,0,"1,644"
Gaighat HSC Maithi,0,"1,163"
Gaighat HSC Pirauchha,0,994
Gaighat HSC Rauna Chhapra,0,480
Gaighat MS Jaganiya,0,302
Gaighat MS Locha,0,30
Gaighat PB Maithi,0,10
Gaighat PS Benibad Madarsa,0,303
Gaighat PS Dih Kodai,0,195
Gaighat PS Satghatta,0,303
Gaighat Pirocha,0,460
General Post Office,0,34
HS Balaur Dih,0,34
HS Pachdahi Rampur Mani,0,779
HS Tepri,0,106
HSC Aadi Gopalpur,0,225
HSC Amnaur,0,532
HSC Amrakh,0,112
HSC Athar,0,382
HSC BASAITHA,0,20
HSC Badgaon,0,200
HSC Baliya Basatpur,0,325
HSC Balthi Rasulpur,0,304
HSC Basauli,0,57
HSC Basokund,0,59
HSC Bazidpur,0,116
HSC Bela Pachgachhiya,0,366
HSC Berua,0,"1,794"
HSC Bhadai,0,"1,399"
HSC Bistha,0,402
HSC Boari Dih,0,"1,175"
HSC Dhuboli,0,"2,050"
HSC GAWASRA,0,203
HSC Garhan,0,293
HSC Hasna,0,"1,534"
HSC Ishwarpatti,0,21
HSC Janta,0,"1,008"
HSC KULDEEP CHHAPRA,0,18
HSC Kakaria,0,"2,139"
HSC Kalayani,0,"1,909"
HSC Kamrathu,0,"1,390"
HSC Kanta,0,"2,617"
HSC Karnpur South,0,192
HSC Kateshar,0,181
HSC Khashpatti,0,21
HSC LOMA,0,"1,724"
HSC Madhurapur,0,73
HSC Maheshwara,0,"2,313"
HSC Maidapur,0,"1,087"
HSC Majhauli,0,284
HSC Matihani,0,373
HSC Mishrauliya,0,321
HSC Paharpur,0,103
HSC Pakri,0,105
HSC Parari (Aurai),0,351
HSC Patiyasa,0,657
HSC Rajkhand,0,"2,051"
HSC Rami Rampur,0,32
HSC Ramnagar,0,"1,844"
HSC Rampur Sambhuta,0,709
HSC Ratwara (Aurai),0,543
HSC Sahila Rampur,0,409
HSC Sarfuddinpur,0,"1,408"
