state,today,total
Samastipur PHC,0,"6,714"
Samastipur Phc Aphc Mordiwa,0,"13,602"
Samastipur RBSK Team- I,0,"5,328"
Samastipur RBSK Team-Ii,0,"3,638"
Samastipur RCH,0,910
Samastipur Rural Workplace,0,"8,275"
Samastipur Urban,0,"32,202"
Samastipur Urban Unit- II,0,698
Samastipur Urban Unit- III,0,"1,200"
Samastipur Urban Unit- IV,0,632
Sarairanjan CRC-I,0,"5,552"
Sarairanjan PHC,0,"21,302"
Sarairanjan RBSK Team- II,0,"9,049"
Sarairanjan RBSK Team-I,0,"9,196"
Sarairanjan Workplace Center,0,"8,458"
Shivajinagar CRC- I,0,"4,725"
Shivajinagar PHC,0,"6,771"
Shivajinagar RBSK Team-I,0,"4,937"
Shivajinagar Workplace Center,0,"5,565"
Singhia CRC-I,0,"3,797"
Singhia College Singhia,0,"9,550"
Singhia PHC,0,"10,479"
Singhia RBSK Team-I,0,"5,172"
Singhia RBSK Team-II,0,"6,203"
Singhia Workplace Center,0,"16,502"
Sri Krishna HSchool Jitwarpur,0,490
SugarMill High School Hasanpur,0,"7,122"
Tajpur CRC- I,0,"2,137"
Tajpur RBSK Team- I,0,"5,374"
Tajpur RBSK Team-II,0,"5,183"
Tajpur Workplace Center,0,"3,842"
Tirhut Academy Samastipur,0,"2,389"
UMS Kewta Dalsingsarai,0,612
UMSCHOOL URDU Mahmoodpur Morwa,0,"4,778"
Ujiarpur PHC,0,"9,430"
Ujiyarpur CRC- I,0,"7,388"
Ujiyarpur RBSK Team- II,0,"5,696"
Ujiyarpur RBSK Team-I,0,"10,318"
Ujiyarpur Workplace Center,0,"7,495"
Urban SAM Workplace Center,0,"4,658"
Urban SAM Workplace Unit- II,0,984
Urban SAM Workplace Unit- III,0,"5,093"
Urban Teeka Express - II,0,"4,049"
Urban Teeka Express -I,0,"5,195"
Vidyapatinagar CRC- I,0,"4,533"
Vidyapatinagar PHC,0,"5,605"
Vidyapatinagar RBSK Team- I,0,"6,784"
Vidyapatinagar Workplace,0,"8,847"
Warishnagar CRC- I,0,"5,110"
Warishnagar PHC,0,"6,275"
Warishnagar RBSK Team-I,0,"5,894"
Warishnagar RBSK. Team - II,0,"6,123"
Warishnagar Workplace Center,0,"10,264"
